,item,itemLabel,award,img url,gender,date of birth,place of birth,citizenship
0,http://www.wikidata.org/entity/Q223988,Paul Scofield,best actor,https://upload.wikimedia.org/wikipedia/commons/b/bf/Paul_Scofield_Allan_Warren.jpg,male,Sat Jan 21 00:00:00 1922,West Sussex,United Kingdom
1,http://www.wikidata.org/entity/Q270730,Casey Affleck,best actor,https://upload.wikimedia.org/wikipedia/commons/d/d3/Casey_Affleck.jpg,male,Tue Aug 12 00:00:00 1975,Falmouth,United States of America
2,http://www.wikidata.org/entity/Q273215,Rod Steiger,best actor,https://upload.wikimedia.org/wikipedia/commons/3/35/Rod_Steiger_Al_Capone_2_cropped.jpg,male,Tue Apr 14 00:00:00 1925,New York City,United States of America
3,http://www.wikidata.org/entity/Q294454,Peter Finch,best actor,https://upload.wikimedia.org/wikipedia/commons/d/d0/Peter_Finch_in_I_Thank_a_Fool_trailer.JPG,male,Thu Sep 28 00:00:00 1916,South Kensington,United Kingdom
4,http://www.wikidata.org/entity/Q295593,Lionel Barrymore,best actor,https://upload.wikimedia.org/wikipedia/commons/3/3f/Lionel_Barrymore.jpg,male,Sun Apr 28 00:00:00 1878,Philadelphia,United States of America
5,http://www.wikidata.org/entity/Q312073,Warner Baxter,best actor,https://upload.wikimedia.org/wikipedia/commons/2/29/Warner_Baxter_promo.jpg,male,Fri Mar 29 00:00:00 1889,Columbus,United States of America
6,http://www.wikidata.org/entity/Q312098,José Ferrer,best actor,https://upload.wikimedia.org/wikipedia/commons/c/cb/Jose_Ferrer_in_Caine_Mutiny.jpg,male,Mon Jan  8 00:00:00 1912,Santurce,Puerto Rico
7,http://www.wikidata.org/entity/Q322179,Wallace Beery,best actor,https://upload.wikimedia.org/wikipedia/commons/f/f7/Wallace_Beery-publicity.JPG,male,Wed Apr  1 00:00:00 1885,Clay County,United States of America
8,http://www.wikidata.org/entity/Q329577,Victor McLaglen,best actor,https://upload.wikimedia.org/wikipedia/commons/f/fe/Victor_McLaglen_in_Sea_Devils_trailer.jpg,male,Fri Dec 10 00:00:00 1886,Royal Tunbridge Wells,United Kingdom
9,http://www.wikidata.org/entity/Q375590,Rami Malek,best actor,https://upload.wikimedia.org/wikipedia/commons/8/8e/Rami_Malek_in_2015_%282%29_%28cropped%29.jpg,male,Tue May 12 00:00:00 1981,Los Angeles,United States of America
10,http://www.wikidata.org/entity/Q2263,Tom Hanks,best actor,https://upload.wikimedia.org/wikipedia/commons/a/a9/Tom_Hanks_TIFF_2019.jpg,male,Mon Jul  9 00:00:00 1956,Concord,United States of America
11,http://www.wikidata.org/entity/Q16390,Humphrey Bogart,best actor,https://upload.wikimedia.org/wikipedia/commons/4/44/Humphrey_Bogart_1945.JPG,male,Mon Dec 25 00:00:00 1899,New York City,United States of America
12,http://www.wikidata.org/entity/Q16390,Humphrey Bogart,best actor,https://upload.wikimedia.org/wikipedia/commons/4/44/Humphrey_Bogart_1945.JPG,male,Mon Dec 25 00:00:00 1899,New York City,United States of America
13,http://www.wikidata.org/entity/Q19155,Henry Fonda,best actor,https://upload.wikimedia.org/wikipedia/commons/c/c9/The_Smith_Family_cast_%28cropped%29.jpg,male,Tue May 16 00:00:00 1905,Grand Island,United States of America
